victim,sector,group,country,attackdate,discovered,domain,data_size,has_press,ransom
"BHARBERT","Business Services","hive","US","2022-09-21","2022-09-21","","","",""
"ifwglobal.com","Business Services","lockbit3","","2022-09-21","2022-09-21","ifwglobal.com","","",""
"CARITAS","Business Services","alphv","DE","2022-09-19","2023-07-26","caritas.de","","",""
"Boyes Turner LLP","Business Services","alphv","","2022-09-16","2023-07-26","boyesturner.com","","",""
"dss-cz.com","Business Services","lockbit3","","2022-09-15","2022-09-15","dss-cz.com","","",""
"Nextlabs","Business Services","0mega","US","2022-09-15","2022-09-15","nextlabs.com","","",""
"FONTAINEBLEAU","Business Services","hive","US","2022-09-15","2022-09-15","","","",""
"d-securite.com","Business Services","lockbit3","","2022-09-14","2022-09-14","d-securite.com","","",""
"aliat.group","Business Services","lockbit3","","2022-09-14","2022-09-14","aliat.group","","",""
"markherder.com","Business Services","lockbit3","","2022-09-14","2022-09-14","markherder.com","","",""
"taxprepandmore.com","Business Services","lockbit3","","2022-09-14","2022-09-14","taxprepandmore.com","","",""
"mj-donnais.fr","Business Services","lockbit3","FR","2022-09-14","2022-09-14","mj-donnais.fr","","",""
"mackenzie-law.co.uk","Business Services","lockbit3","GB","2022-09-14","2022-09-14","mackenzie-law.co.uk","","",""
"lagence33.com","Business Services","lockbit3","","2022-09-14","2022-09-14","lagence33.com","","",""
"kwp.at","Business Services","lockbit3","AT","2022-09-14","2022-09-14","kwp.at","","",""
"cmb-artimmo.com","Business Services","lockbit3","","2022-09-14","2022-09-14","cmb-artimmo.com","","",""
"Ferrer&Ojeda","Business Services","sparta","ES","2022-09-13","2022-09-13","ferrerojeda.com","","",""
"SERCOM","Business Services","sparta","","2022-09-13","2022-09-13","","","",""
"omegaservices.com.au","Business Services","lockbit3","AU","2022-09-12","2022-09-12","omegaservices.com.au","","",""
"aralaw.cr","Business Services","lockbit3","","2022-09-11","2022-09-11","aralaw.cr","","",""
"dcashpro.com","Business Services","lockbit3","","2022-09-09","2022-09-09","dcashpro.com","","",""
"PCSupport","Business Services","alphv","NZ","2022-09-06","2023-07-26","pcsupport.co.nz/","","",""
"monnensenpartners.be","Business Services","lockbit3","BE","2022-09-05","2022-09-05","monnensenpartners.be","","",""
"psico","Business Services","blackbasta","","2022-09-05","2022-09-05","","","",""
"C2CORP","Business Services","blackbasta","","2022-09-04","2022-09-04","","","",""
"peakinternational.com","Business Services","lockbit3","","2022-09-02","2022-09-02","peakinternational.com","","",""
"Moscone Center","Business Services","quantum","US","2022-09-01","2022-09-01","","","",""
"hspatent.com","Business Services","lockbit3","","2022-09-01","2022-09-01","hspatent.com","","",""
"Alegria Family Services","Business Services","bianlian","","2022-08-30","2022-08-30","","","",""
"4cRisk","Business Services","bianlian","","2022-08-30","2022-08-30","","","",""
"Captec-group","Business Services","bianlian","","2022-08-30","2022-08-30","","","",""
"The Preston Partnership","Business Services","bianlian","","2022-08-29","2022-08-29","","","",""
"Grande Stevens","Business Services","blackbyte","","2022-08-28","2022-08-28","grandestevens.it/eng/","","",""
"Clear Start Accountants","Business Services","8base","","2022-08-25","2023-05-23","","","",""
"ruffinlawyers.com.au","Business Services","lockbit3","AU","2022-08-23","2022-08-23","ruffinlawyers.com.au","","",""
"pinjuhlaw.com","Business Services","lockbit3","","2022-08-23","2022-08-23","pinjuhlaw.com","","",""
"Moskowitz, Mandell & Salim, P.A.","Business Services","quantum","US","2022-08-23","2022-08-23","","","",""
"traveldoc.ca","Business Services","lockbit3","CA","2022-08-18","2022-08-18","traveldoc.ca","","",""
"FrameOne","Business Services","8base","","2022-08-15","2023-05-23","","","",""
"schnabel-eng.com","Business Services","dispossessor","","2022-08-13","2024-04-19","schnabel-eng.com","","",""
"beckerlaw.com","Business Services","lockbit3","","2022-08-13","2022-08-13","beckerlaw.com","","",""
"Constantino Contabilidade E Comunicacao","Business Services","8base","","2022-08-11","2023-05-23","","","",""
"WENZEL + WENZEL","Business Services","blackbasta","","2022-08-06","2022-08-06","","","",""
"Young & Pratt","Business Services","blackbasta","","2022-08-06","2022-08-06","","","",""
"Brandao","Business Services","8base","","2022-08-06","2023-05-23","","","",""
"AD Consulting Group","Business Services","alphv","","2022-08-04","2023-07-26","adcgroup.com","","",""
"Liftow LTD","Business Services","quantum","CA","2022-08-04","2022-08-04","","","",""
"Grupo 2MGA","Business Services","8base","","2022-07-30","2023-05-23","","","",""
"Nelsonslaw LLP","Business Services","alphv","GB","2022-07-29","2023-07-26","nelsonslaw.co.uk/","","",""
"armassist.ie","Business Services","lockbit3","IE","2022-07-28","2022-07-28","armassist.ie","","",""
"tnqcoin","Business Services","alphv","IN","2022-07-28","2023-07-26","tnq.co.in","","",""
"herccombr","Business Services","alphv","BR","2022-07-28","2023-07-26","herc.com.br/","","",""
"studioteruzzi.com - HACKED AND MORE THEN 80GB DATA LEAKED","Business Services","lv","","2022-07-27","2022-07-27","","","",""
"sieam.fr","Business Services","lockbit3","FR","2022-07-26","2022-07-26","sieam.fr","","",""
"ryanhanley.ie - HACKED AND MORE THEN 200GB DATA LEAKED","Business Services","lv","","2022-07-25","2022-07-25","","","",""
"eclipse-print.com","Business Services","lockbit3","","2022-07-25","2022-07-25","eclipse-print.com","","",""
"overseas-ast.com","Business Services","lockbit3","","2022-07-25","2022-07-25","overseas-ast.com","","",""
"SOVAC","Business Services","8base","BE","2022-07-25","2023-05-23","","","",""
"Holland CPA","Business Services","alphv","","2022-07-24","2023-07-26","hollandcpa.cc/","","",""
"laneprint.com.au","Business Services","lockbit3","AU","2022-07-22","2022-07-22","laneprint.com.au","","",""
"taylorstafford.com","Business Services","lockbit3","","2022-07-22","2022-07-22","taylorstafford.com","","",""
"bizebra.com","Business Services","lockbit3","","2022-07-22","2022-07-22","bizebra.com","","",""
"a2-pas.fr","Business Services","lockbit3","FR","2022-07-21","2022-07-21","a2-pas.fr","","",""
"keystonelegal.co.uk","Business Services","redalert","GB","2022-07-20","2022-07-20","keystonelegal.co.uk","","",""
"LaVan & Neidenberg","Business Services","hive","US","2022-07-20","2022-07-20","","","",""
"The Minka Group","Business Services","blackbasta","","2022-07-20","2022-07-20","","","",""
"addconsult.nl","Business Services","lockbit3","NL","2022-07-20","2022-07-20","addconsult.nl","","",""
"Continental Management","Business Services","alphv","","2022-07-19","2023-07-26","continentalmgt.com","","",""
"Reed Pope Law","Business Services","alphv","CA","2022-07-19","2023-07-26","reedpope.ca/","","",""
"Delon Hampton & Associates, Chartered","Business Services","quantum","US","2022-07-19","2022-07-19","","","",""
"bizframe.co.za","Business Services","lockbit3","ZA","2022-07-18","2022-07-18","bizframe.co.za","","",""
"KKJM Lawfirm","Business Services","alphv","","2022-07-18","2023-07-26","kkjmlawfirm.com","","",""
"VERITAS Solicitors","Business Services","bianlian","","2022-07-16","2022-07-16","","","",""
"Rain the Growth Agency","Business Services","bianlian","","2022-07-14","2022-07-14","","","",""
"High Power Technical Services","Business Services","bianlian","","2022-07-14","2022-07-14","","","",""
"Maxey Moverley","Business Services","0mega","","2022-07-14","2022-07-14","","","",""
"SANDO","Business Services","hive","ES","2022-07-13","2022-07-13","","","",""
"GROUP4 AUSTRALIA","Business Services","hive","AU","2022-07-13","2022-07-13","","","",""
"Authentic Brands Group","Business Services","hive","US","2022-07-13","2022-07-13","","","",""
"Chen Moore and Associates","Business Services","alphv","","2022-07-09","2023-07-26","chenmoore.com","","",""
"Podhurst Orseck","Business Services","alphv","","2022-07-07","2023-07-26","podhurst.com","","",""
"SCHMIDT Gruppe Service GmbH","Business Services","blackbasta","","2022-07-06","2022-07-06","","","",""
"Hamlyns Limited","Business Services","hive","GB","2022-07-04","2022-07-04","","","",""
"DIRECTFERRIES","Business Services","hive","GB","2022-07-04","2022-07-04","","","",""
"MHIRE","Business Services","hive","","2022-07-04","2022-07-04","","","",""
"bosco-avocats.com","Business Services","lockbit3","","2022-07-02","2022-07-02","bosco-avocats.com","","",""
"faacgroup.com","Business Services","lockbit3","","2022-07-02","2022-07-02","faacgroup.com","","",""
"plravocats.fr","Business Services","lockbit3","FR","2022-07-02","2022-07-02","plravocats.fr","","",""
"slpcolombus.com","Business Services","lockbit3","","2022-07-02","2022-07-02","slpcolombus.com","","",""
"Crupi Group","Business Services","quantum","CA","2022-06-30","2022-06-30","","","",""
"Bonneville Collections","Business Services","lorenz","","2022-06-27","2022-06-27","","","",""
"jprmp.com","Business Services","dispossessor","","2022-06-26","2024-04-19","jprmp.com","","",""
"HANSA KONTAKT","Business Services","alphv","HU","2022-06-26","2023-07-26","hansa-kontakt.hu/","","",""
"nutiscom","Business Services","alphv","US","2022-06-23","2023-07-26","nutis.com","","",""
"Alphapointe","Business Services","hive","US","2022-06-23","2022-06-23","","","",""
"ecos-office.com","Business Services","lockbit2","","2022-06-21","2022-06-21","ecos-office.com","","",""
"coteg-azam.fr","Business Services","lockbit2","FR","2022-06-21","2022-06-21","coteg-azam.fr","","",""
"emprint.com","Business Services","lockbit2","","2022-06-20","2022-06-20","emprint.com","","",""
"Irmler Rechtsanwälte","Business Services","8base","","2022-06-20","2023-05-23","","","",""
"RG Alliance Group","Business Services","quantum","US","2022-06-16","2022-06-16","","","",""
"ardebolassessor","Business Services","lockbit2","","2022-06-16","2022-06-16","","","",""
"Novelty Group","Business Services","vicesociety","","2022-06-15","2022-06-15","","","",""
"gruppowasteital...","Business Services","lockbit2","","2022-06-14","2022-06-14","","","",""
"Shred Station","Business Services","quantum","GB","2022-06-14","2022-06-14","","","",""
"YMCA","Business Services","quantum","US","2022-06-14","2022-06-14","","","",""
"theallisoncom","Business Services","alphv","","2022-06-14","2023-07-26","theallison.com","","",""
"ptg.com.au","Business Services","lockbit2","AU","2022-06-13","2022-06-13","ptg.com.au","","",""
"SDZ Druck und Medien","Business Services","blackbasta","","2022-06-12","2022-06-12","","","",""
"linmark.com","Business Services","lockbit2","","2022-06-06","2022-06-06","linmark.com","","",""
"THE HARCOURTS FOUNDATION (AUSTRALIA) PTY LTD","Business Services","8base","","2022-06-06","2023-05-23","","","",""
"AS Netz","Business Services","8base","","2022-06-03","2023-05-23","","","",""
"Acorn Recruitment","Business Services","vicesociety","","2022-06-02","2022-06-02","","","",""
"XEIAD","Business Services","hive","GB","2022-05-28","2022-05-28","","","",""
"M+A Partners","Business Services","alphv","GB","2022-05-27","2023-07-26","mapartners.co.uk/","","",""
"Klasner Solomon & Partners Chartered Professional Accountants","Business Services","alphv","","2022-05-26","2023-07-26","klasnerandsolomon.com","","",""
"The Contact Company","Business Services","conti","","2022-05-25","2022-05-25","","","",""
"Eurocept","Business Services","quantum","","2022-05-23","2022-05-23","","","",""
"Agile Sourcing Partners","Business Services","conti","","2022-05-23","2022-05-23","","","",""
"Omicron Consulting S.r.L","Business Services","conti","","2022-05-23","2022-05-23","","","",""
"Allcat Claims Service","Business Services","conti","","2022-05-23","2022-05-23","","","",""
"diligentusa.com","Business Services","embargo","","2022-05-21","2024-07-11","diligentusa.com","","yes",""
"The Catholic Foundation","Business Services","vicesociety","","2022-05-20","2022-05-20","","","",""
"EIITNET","Business Services","hive","US","2022-05-19","2022-05-19","","","",""
"Tri-Ko","Business Services","hive","US","2022-05-19","2022-05-19","","","",""
"gdctax.com.au","Business Services","lockbit2","AU","2022-05-19","2022-05-19","gdctax.com.au","","",""
"AmCham Shanghai","Business Services","lorenz","","2022-05-16","2022-05-16","","","",""
"sherpamarketing...","Business Services","lockbit2","","2022-05-16","2022-05-16","","","",""
"fronteousa","Business Services","cuba","","2022-05-16","2022-05-16","","","",""
"boltburdon.co.u...","Business Services","lockbit2","","2022-05-15","2022-05-15","","","",""
"boltburdonkemp....","Business Services","lockbit2","","2022-05-13","2022-05-13","","","",""
"sgservicesud.it","Business Services","lockbit2","IT","2022-05-13","2022-05-13","sgservicesud.it","","",""
"Cjk Group, Inc.","Business Services","conti","","2022-05-12","2022-05-12","","","",""
"ats-insubria.it","Business Services","blackbyte","IT","2022-05-12","2022-05-12","ats-insubria.it","","",""
"Campbell & Partners Consulting","Business Services","alphv","AU","2022-05-10","2023-07-26","campbellandpartners.com","","",""
"Fachgroßhandel","Business Services","blackbasta","","2022-05-09","2022-05-09","","","",""
"realestateconsu...","Business Services","lockbit2","","2022-05-07","2022-05-07","","","",""
"mediuscorp","Business Services","mindware","","2022-05-05","2022-05-05","","","",""
"Haynes Manuals","Business Services","vicesociety","","2022-05-04","2022-05-04","","","",""
"Horwitz Law, Horwitz & Associates","Business Services","alphv","","2022-05-04","2023-07-26","horwitzlaw.com","","",""
"Zito Media","Business Services","blackbasta","","2022-05-04","2022-05-04","","","",""
"Unicity International","Business Services","revil","","2022-05-03","2022-05-03","","","",""
"MTS Office","Business Services","8base","","2022-05-03","2023-05-23","","","",""
"PRGX Global Inc.","Business Services","blackbasta","","2022-05-02","2022-05-02","","","",""
"SOGEGROSS SPA","Business Services","blackbyte","","2022-05-02","2022-05-02","","","",""
"radiusgs.com","Business Services","dispossessor","","2022-05-01","2024-04-19","radiusgs.com","","",""
"zdgllc.com","Business Services","lockbit2","","2022-05-01","2022-05-01","zdgllc.com","","",""
"Valley Rentals","Business Services","quantum","NL","2022-04-29","2022-04-29","","","",""
"Petro Serve","Business Services","quantum","QA","2022-04-29","2022-04-29","","","",""
"Domingues and Pinho Contadores","Business Services","vicesociety","","2022-04-29","2022-04-29","","","",""
"warrengibson.co...","Business Services","lockbit2","","2022-04-27","2022-04-27","","","",""
"Elgin County","Business Services","quantum","CA","2022-04-27","2022-04-27","","","",""
"Davis Law Group, PC","Business Services","alphv","","2022-04-27","2023-07-26","dlgva.com","","",""
"TÜV NORD GROUP","Business Services","blackbasta","","2022-04-26","2022-04-26","","","",""
"SSK Ingeniería Y Construcción S.A.C.","Business Services","hive","PE","2022-04-26","2022-04-26","","","",""
"j-w-andersoncom","Business Services","alphv","","2022-04-26","2023-07-26","jwanderson.com/ru","","",""
"FRISAcom","Business Services","alphv","","2022-04-26","2023-07-26","frisa.com/en/welcome","","",""
"Richardson & Pullen, PC","Business Services","alphv","","2022-04-26","2023-07-26","richardsonandpullen.com","","",""
"Confcommercio - Alessandria - Home","Business Services","quantum","","2022-04-26","2022-04-26","","","",""
"multimmobiliare...","Business Services","lockbit2","","2022-04-25","2022-04-25","","","",""
"tigergroup.ae","Business Services","lockbit2","AE","2022-04-23","2022-04-23","tigergroup.ae","","",""
"ccfsinc.com","Business Services","lockbit2","","2022-04-23","2022-04-23","ccfsinc.com","","",""
"www.tigergroup....","Business Services","lockbit2","","2022-04-23","2022-04-23","","","",""
"Calvetti Ferguson","Business Services","alphv","","2022-04-22","2023-07-26","calvettiferguson.com","","",""
"lifestylesoluti...","Business Services","lockbit2","","2022-04-22","2022-04-22","","","",""
"wilshire.com","Business Services","lockbit2","","2022-04-22","2022-04-22","wilshire.com","","",""
"huntongroup.com","Business Services","lockbit2","US","2022-04-22","2022-04-22","huntongroup.com","","",""
"beckerlaw.com","Business Services","lockbit2","","2022-04-22","2022-04-22","beckerlaw.com","","",""
"incegd.com","Business Services","lockbit2","","2022-04-22","2022-04-22","incegd.com","","",""
"UKG Kronos Data Leak","Business Services","darkleakmarket","","2022-04-21","2022-04-21","","","",""
"lakelandchamber.com","Business Services","lockbit3","US","2022-04-21","2024-09-19","lakelandchamber.com","","",""
"DavislandscapeL...","Business Services","lockbit2","","2022-04-20","2022-04-20","","","",""
"Monteleone & McCrory, LLP","Business Services","alphv","","2022-04-15","2023-07-26","","","",""
"radmangroup.com","Business Services","lockbit2","","2022-04-14","2022-04-14","radmangroup.com","","",""
"Elevate Services","Business Services","conti","","2022-04-14","2022-04-14","","","",""
"applya.com","Business Services","lockbit2","","2022-04-13","2022-04-13","applya.com","","",""
"Simply Placed","Business Services","lorenz","","2022-04-13","2022-04-13","","","",""
"Wolfe Industrial","Business Services","quantum","US","2022-04-11","2022-04-11","","","",""
"Advizrs","Business Services","lorenz","","2022-04-11","2022-04-11","","","",""
"CAE Services","Business Services","conti","","2022-04-11","2022-04-11","","","",""
"groupemeunier.c...","Business Services","lockbit2","","2022-04-10","2022-04-10","","","",""
"sadeco.fr","Business Services","lockbit2","FR","2022-04-10","2022-04-10","sadeco.fr","","",""
"https://groupem...","Business Services","lockbit2","","2022-04-10","2022-04-10","","","",""
"SUPREME SERVICES","Business Services","midas","","2022-04-07","2022-04-07","","","",""
"vgoc.ca","Business Services","lockbit2","CA","2022-04-06","2022-04-06","vgoc.ca","","",""
"allcountysurvey...","Business Services","lockbit2","","2022-04-06","2022-04-06","","","",""
"noll-law.com","Business Services","lockbit2","","2022-04-04","2022-04-04","noll-law.com","","",""
"gva-atencia.es","Business Services","lockbit2","ES","2022-04-04","2022-04-04","gva-atencia.es","","",""
"a-r-s.com","Business Services","lockbit2","","2022-04-04","2022-04-04","a-r-s.com","","",""
"remar.com.ec","Business Services","lockbit2","","2022-04-03","2022-04-03","remar.com.ec","","",""
"P1 Technical Services","Business Services","cryptbb","","2022-04-03","2023-09-15","","","",""
"P1 Technical Services","Business Services","8base","","2022-04-03","2023-05-23","","","",""
"bspcr.com","Business Services","lockbit3","US","2022-04-02","2024-09-19","bspcr.com","","",""
"WKPZ Law","Business Services","alphv","","2022-04-01","2023-07-26","","","",""
"I-SEC International Security","Business Services","conti","","2022-04-01","2022-04-01","","","",""
"CORT","Business Services","kelvinsecurity","","2022-04-01","2022-04-01","","","",""
"CR ASIA","Business Services","kelvinsecurity","","2022-04-01","2022-04-01","","","",""
"SSW Consulting","Business Services","alphv","","2022-03-31","2023-07-26","","","",""
"jlmsolicitors.c...","Business Services","lockbit2","","2022-03-30","2022-03-30","","","",""
"Critical Content","Business Services","conti","","2022-03-29","2022-03-29","","","",""
"Biz Retek","Business Services","lorenz","","2022-03-29","2022-03-29","","","",""
"GRS Group","Business Services","conti","","2022-03-29","2022-03-29","","","",""
"ONCALL Language Services","Business Services","conti","","2022-03-28","2022-03-28","","","",""
"Allied Eagle Supply","Business Services","conti","","2022-03-28","2022-03-28","","","",""
"microflex-servi...","Business Services","lockbit2","","2022-03-26","2022-03-26","","","",""
"Konradin Mediengruppe GmbH","Business Services","hive","","2022-03-26","2022-03-26","","","",""
"Relationships Australia","Business Services","alphv","","2022-03-25","2023-07-26","","","",""
"Passero Associates","Business Services","hive","US","2022-03-24","2022-03-24","","","",""
"onedoc.ch/fr/ce...","Business Services","lockbit2","","2022-03-24","2022-03-24","onedoc.ch","","",""
"KONECTA SERVICIOS ADMINISTRATIVOS Y TECNOLOGICOS S.L. SUCURSAL ARGENTINA","Business Services","hive","","2022-03-24","2022-03-24","","","",""
"Shapiro and Duncan","Business Services","conti","","2022-03-24","2022-03-24","","","",""
"redgwick.com","Business Services","lockbit2","","2022-03-24","2022-03-24","redgwick.com","","",""
"intouchgroup.ne...","Business Services","lockbit2","","2022-03-24","2022-03-24","","","",""
"LW Group","Business Services","alphv","","2022-03-23","2023-07-26","","","",""
"avidoc.fr","Business Services","lockbit2","FR","2022-03-23","2022-03-23","avidoc.fr","","",""
"lazpiur.com","Business Services","lockbit2","","2022-03-23","2022-03-23","lazpiur.com","","",""
"Satz Kontor GmbH data","Business Services","stormous","","2022-03-23","2022-03-23","","","",""
"yesmoke.eu","Business Services","lockbit3","IT","2022-03-23","2024-09-19","yesmoke.eu","","",""
"Core Design","Business Services","stormous","","2022-03-22","2022-03-22","","","",""
"KELLY,REMMEL&ZIMMERMAN first part","Business Services","alphv","","2022-03-22","2023-07-26","","","",""
"OCA Global","Business Services","conti","","2022-03-21","2022-03-21","","","",""
"zabel-group.de","Business Services","lockbit2","DE","2022-03-21","2022-03-21","zabel-group.de","","",""
"rh-europe.com","Business Services","lockbit2","","2022-03-21","2022-03-21","rh-europe.com","","",""
"connectcec.com","Business Services","lockbit2","","2022-03-20","2022-03-20","connectcec.com","","",""
"Normandeau Associates, Inc.","Business Services","conti","","2022-03-19","2022-03-19","","","",""
"bChannels Ltd.","Business Services","conti","","2022-03-19","2022-03-19","","","",""
"Talent Logic Inc.","Business Services","conti","","2022-03-18","2022-03-18","","","",""
"solvi.com","Business Services","lockbit2","","2022-03-18","2022-03-18","solvi.com","","",""
"kbkbcpa.com","Business Services","lockbit2","","2022-03-18","2022-03-18","kbkbcpa.com","","",""
"lawsdn.com","Business Services","lockbit2","","2022-03-17","2022-03-17","lawsdn.com","","",""
"AllOffice","Business Services","conti","","2022-03-17","2022-03-17","","","",""
"Managed Business Solutions","Business Services","conti","","2022-03-17","2022-03-17","","","",""
"Jaffe Raitt Heuer & Weiss, P.C.","Business Services","pandora","","2022-03-17","2022-03-17","","","",""
"onedoc.ch/fr/ca...","Business Services","lockbit2","","2022-03-17","2022-03-17","onedoc.ch","","",""
"vbsharma.ca","Business Services","lockbit2","CA","2022-03-16","2022-03-16","vbsharma.ca","","",""
"Ward Hadaway","Business Services","lorenz","","2022-03-15","2022-03-15","","","",""
"snteseccion30sa..","Business Services","lockbit2","","2022-03-14","2022-03-14","","","",""
"incegroup.com","Business Services","lockbit3","VC","2022-03-13","2024-05-09","incegroup.com","","",""
"XEFI / Neocyber","Business Services","everest","","2022-03-12","2022-03-12","","","",""
"Myron Corp.","Business Services","conti","","2022-03-08","2022-03-08","","","",""
"XEFI","Business Services","everest","","2022-03-08","2022-03-08","","","",""
"EUROPA GROUP","Business Services","conti","","2022-03-07","2022-03-07","","","",""
"Loepthien Maeder Treuhand AG","Business Services","conti","","2022-03-07","2022-03-07","","","",""
"Gershon Biegeleisen &#038; Co","Business Services","everest","","2022-03-07","2022-03-07","","","",""
"Backus, Meyer &#038; Branch, LLP","Business Services","everest","","2022-03-07","2022-03-07","","","",""
"Greenberg &#038; Stein New York City Personal Injury Lawyers","Business Services","everest","","2022-03-07","2022-03-07","","","",""
"Law Offices of Brandon Sua &#038; Associates","Business Services","everest","","2022-03-07","2022-03-07","","","",""
"Campbell Sales and Service, Inc","Business Services","everest","","2022-03-07","2022-03-07","","","",""
"us.jll.com","Business Services","lockbit2","","2022-02-27","2022-02-27","us.jll.com","","",""
"Steven L. Sugarman & Associates","Business Services","hive","","2022-02-25","2022-02-25","","","",""
"Palacios & Asociados","Business Services","hive","","2022-02-25","2022-02-25","","","",""
"BERMAN SOBIN GROSS & DARBY","Business Services","hive","","2022-02-25","2022-02-25","","","",""
"Powerhouse1","Business Services","hive","US","2022-02-25","2022-02-25","","","",""
"Doner","Business Services","hive","US","2022-02-25","2022-02-25","","","",""
"huntongroup.com","Business Services","lockbit3","CN","2022-02-21","2024-08-30","huntongroup.com","","",""
"brookledge.com","Business Services","lockbit2","","2022-02-19","2022-02-19","brookledge.com","","",""
"threesixtysourcingcom","Business Services","alphv","","2022-02-17","2023-07-26","","","",""
"GEE GROUP INC.","Business Services","conti","","2022-02-15","2022-02-15","","","",""
"pwma.org.hk","Business Services","lockbit2","","2022-02-14","2022-02-14","pwma.org.hk","","",""
"Scherr Legate","Business Services","alphv","","2022-02-13","2022-02-13","scherrlegate.com","","",""
"NorthEast Coverages","Business Services","alphv","","2022-02-13","2022-02-13","ortheastcoverages.com","","",""
"Aareon Nederland B.V.","Business Services","conti","","2022-02-11","2022-02-11","","","",""
"Weir & Partners LLP","Business Services","everest","","2022-02-09","2022-02-09","","","",""
"NorthEast Coverages | northeastcoveragescom","Business Services","alphv","","2022-02-09","2023-07-26","","","",""
"The Lovett Group","Business Services","conti","","2022-02-09","2022-02-09","","","",""
"SEA-invest","Business Services","conti","","2022-02-08","2022-02-08","","","",""
"Heartland Alliance","Business Services","suncrypt","","2022-02-08","2022-02-08","","","",""
"Scherr Legate | scherrlegatecom","Business Services","alphv","","2022-02-08","2023-07-26","","","",""
"MSH Steuerberatungsgesellschaft","Business Services","conti","","2022-02-07","2022-02-07","","","",""
"maketherightcall.com hk-callcentre","Business Services","alphv","","2022-02-06","2022-02-06","","","",""
"kainz-haustechn...","Business Services","lockbit2","","2022-02-05","2022-02-05","","","",""
"Bud Griffin and Associates","Business Services","blackbyte","","2022-02-05","2022-02-05","","","",""
"Rector Hayden Realtors","Business Services","blackbyte","","2022-02-05","2022-02-05","","","",""
"Taylor and Martin","Business Services","blackbyte","","2022-02-05","2022-02-05","","","",""
"cometgroup","Business Services","lockbit2","","2022-02-04","2022-02-04","","","",""
"ametisfacilitie...","Business Services","lockbit2","","2022-02-04","2022-02-04","","","",""
"trellisware.com","Business Services","dispossessor","","2022-02-04","2024-04-19","trellisware.com","","",""
"nfcaa.org","Business Services","lockbit3","US","2022-02-04","2024-09-15","nfcaa.org","","",""
"pkf.com.au","Business Services","lockbit3","AU","2022-02-04","2024-08-30","pkf.com.au","","",""
"fivestarproducts.com","Business Services","lockbit3","US","2022-02-03","2024-09-15","fivestarproducts.com","","",""
"Florida lawyer&#8217;s data leaked","Business Services","everest","","2022-01-27","2022-01-27","","","",""
"vbhlaw.com","Business Services","lockbit2","","2022-01-27","2022-01-27","vbhlaw.com","","",""
"Schuldnerberatung Ostfriesland e. V.","Business Services","hive","","2022-01-25","2022-01-25","","","",""
"Mele Printing","Business Services","hive","","2022-01-25","2022-01-25","","","",""
"onlinesalespro....","Business Services","lockbit2","","2022-01-21","2022-01-21","","","",""
"harrisshelton.c...","Business Services","lockbit2","","2022-01-19","2022-01-19","","","",""
"Brookson Group","Business Services","alphv","GB","2022-01-18","2022-01-18","brooksonone.co.uk","","",""
"Partnership","Business Services","everest","","2022-01-16","2022-01-16","","","",""
"Redbadge","Business Services","alphv","","2022-01-16","2022-01-16","","","",""
"proskauer.com","Business Services","dispossessor","","2022-01-15","2024-04-19","proskauer.com","","",""
"khattarlaw.com","Business Services","lockbit2","","2022-01-15","2022-01-15","khattarlaw.com","","",""
"RRD","Business Services","conti","","2022-01-15","2022-01-15","","","",""
"Safeguard","Business Services","conti","","2022-01-15","2022-01-15","","","",""
"TaxNetUSA","Business Services","snatch","US","2022-01-11","2022-01-11","","","",""
"northsideplumbi...","Business Services","lockbit2","","2022-01-10","2022-01-10","","","",""
"amerplumb.com","Business Services","lockbit2","US","2022-01-10","2022-01-10","amerplumb.com","","",""
"giovanardi.it","Business Services","lockbit2","IT","2022-01-08","2022-01-08","giovanardi.it","","",""
"mcsmorandi.com","Business Services","lockbit2","","2022-01-07","2022-01-07","mcsmorandi.com","","",""
"D.F. Chase","Business Services","alphv","","2022-01-06","2022-01-06","dfchase.com","","",""
"Premium Transportation Group","Business Services","snatch","US","2022-01-05","2022-01-05","","","",""
"Impresa","Business Services","lapsus$","PT","2022-01-01","2022-01-01","","","",""
"lee-associates....","Business Services","lockbit2","US","2021-12-31","2021-12-31","lee-associates.com","","",""
"Centaris.com","Business Services","alphv","","2021-12-30","2021-12-30","centaris.com","","",""
"independentprin...","Business Services","lockbit2","","2021-12-30","2021-12-30","","","",""
"https://www.lee...","Business Services","lockbit2","","2021-12-30","2021-12-30","","","",""
"grupomakler.com","Business Services","lockbit2","","2021-12-30","2021-12-30","grupomakler.com","","",""
"New City Commercial Corporation (NCCC)","Business Services","alphv","","2021-12-30","2021-12-30","","","",""
"Douglas Shaw & Associates","Business Services","alphv","","2021-12-30","2021-12-30","douglasshaw.com","","",""
"Solaris Management Consultants","Business Services","alphv","","2021-12-30","2021-12-30","solaris-mci.com","","",""
"lahebert","Business Services","cuba","","2021-12-30","2021-12-30","","","",""
"Evalueserve","Business Services","rook","","2021-12-28","2021-12-28","","","",""
"TUI UK","Business Services","snatch","GB","2021-12-26","2021-12-26","","","",""
"SVP Groupe","Business Services","conti","","2021-12-26","2021-12-26","","","",""
"Economos properties","Business Services","conti","","2021-12-26","2021-12-26","","","",""
"Metamorph Group","Business Services","conti","","2021-12-26","2021-12-26","","","",""
"cbjblawfirm.com","Business Services","lockbit2","","2021-12-24","2021-12-24","cbjblawfirm.com","","",""
