industry,type,category,description,subcategories
"Educational Services","exposure","Research Data, Intellectual Property and Regulated Research Health Data","The exposure unique to higher education. Universities hold pre-publication research, proprietary and licensed datasets, export-controlled work and long-running human-subjects cohorts. The University of Manchester attack reached NHS records for 1.1 million patients gathered from over 200 hospitals for medical research, and the University of Hawai'i Cancer Center incident exposed decades-old epidemiological cohort data affecting up to 1.15 million individuals - demonstrating that research archives create liability for populations who were never students or staff.","Human-subjects research cohorts and longitudinal study data | Clinical, patient and genomic research datasets (HIPAA-regulated) | Pre-publication research, grant applications and unpublished results | Patents, licensing pipelines and technology-transfer records | Export-controlled, defence and dual-use research | Industry-sponsored and contract research under NDA | HPC clusters, lab instrumentation and research computing storage | Licensed third-party datasets with contractual breach penalties | IRB records and participant consent/identity linkage files"
"Educational Services","exposure","Minors' PII and Sensitive Student Welfare Records","The sector's most reputationally and legally explosive exposure. Beyond routine PII, schools hold counselling notes, psychological evaluations, abuse and safeguarding reports, and custody arrangements for children who cannot consent and whose identities remain exploitable for decades. Both LAUSD and Minneapolis saw student psychological assessments published after refusing to pay, and Baltimore City Public Schools' 2025 incident exposed SSNs and driver's licence data for thousands of students and staff.","Minors' names, dates of birth, addresses and SSNs | Counselling, mental-health and psychological assessment records | Child protection, safeguarding and abuse reports | Custody, foster-care and guardianship arrangements | Juvenile justice and prior-conviction referral records | Health, disability and medication records | Immigration status and English-learner designations | Photographs, biometrics and student ID imagery | Long-tail identity-theft exposure (dormant credit files of minors)"
"Educational Services","exposure","Campus Operational Technology and Physical Safety Systems","Schools and campuses run building and safety infrastructure on the same networks as administrative IT, so ransomware translates directly into physical-safety consequences and closure decisions. The Minneapolis breach was confirmed by analysts to have exposed school security blueprints - a worst-case outcome in which stolen data creates ongoing physical risk to children that no notification or credit monitoring can remediate.","Door access control, badging and electronic locking systems | CCTV, video surveillance and monitoring platforms | Fire alarm, intrusion detection and emergency notification systems | HVAC, boiler and building management systems | Dormitory and residence-hall access and utilities | Bus routing, fleet telematics and student transport tracking | Bell schedules, PA systems and lockdown/emergency controls | Campus security floor plans, blueprints and camera placement maps | Laboratory, athletic facility and dining OT systems"
"Educational Services","exposure","Alumni, Donor and Advancement Databases","University advancement systems hold high-net-worth individuals' financial profiles, giving histories, wealth-screening assessments and private correspondence. This data is disproportionately valuable relative to its volume, and its exposure damages the institution's fundraising capacity - a material revenue line for higher education - well beyond the incident itself. The University of Manchester breach included alumni records alongside current student data.","Alumni contact, employment and biographical records | Donor giving histories and pledge commitments | Wealth screening and capacity/propensity ratings | Major-gift prospect research and confidential correspondence | Payment instruments and recurring donation details | Endowment, trust and planned-giving records | Board, trustee and named-benefactor information | Event, membership and affinity programme data"
"Educational Services","exposure","Third-Party Edtech, Cloud and Identity Infrastructure","Modern institutions outsource most of their data estate, so a large share of exposure sits outside the insured's own perimeter and outside its control. This is the exposure that converts individual education risks into portfolio-level correlated loss, and Verizon's 2026 DBIR reported third parties featuring in 48% of breaches with supply-chain breaches up 60% year over year.","SIS, LMS and assessment vendors (aggregation nodes) | Managed service providers and regional education service agencies | Cloud tenancies (Microsoft 365, Google Workspace) and OAuth token estates | Federated identity providers and SSO trust fabric (Shibboleth, InCommon, eduGAIN) | Managed file transfer and data exchange platforms | Payment processors, tuition plans and collections agencies | Library systems, catalogues, e-resource and publisher platforms | Transcript, credentialing, admissions and enrolment-verification services | Backup, DR and archival providers | Student wellbeing, tutoring, safety-monitoring and communications apps"
"Energy and Utilities","hazard","Initial Access Vectors","How ransomware actors first get into energy/utility environments. Credential-based and edge-device intrusions dominate; the sector's large geographically distributed remote-access footprint (substations, wells, pump stations, SCADA remote sites) widens the attack surface.","Stolen/compromised credentials (IBM: #1 vector at 16%; e.g., Conpet infostealer on an IT admin's personal device) | Infostealer malware harvesting VPN/WSUS/RDP credentials from employee or contractor devices | Internet-facing VPN, firewall, and remote-access appliance exploitation (Fortinet/Citrix/Ivanti-class edge devices) | Phishing / business email compromise (energy/utilities are hit harder by email-borne attacks than most sectors) | Abuse of legitimate internal infrastructure (e.g., WSUS/patch-management to push a malicious 'fake update' at Conpet) | Exploitation of unpatched internet-facing enterprise apps and public-facing customer/billing portals | Third-party/vendor and MSP remote-access compromise"
"Energy and Utilities","hazard","Extortion Tactics","How actors monetize access. The sector's criticality makes public/regulatory pressure especially potent, so exfiltration-led multi-extortion is now more common than pure encryption.","Encryption of IT systems (production planning, shipment tracking, billing, ERP) | Data exfiltration + leak-site publication (double extortion; e.g., ALPHV 150GB from Creos/Encevo, Qilin ~1TB from Conpet) | Triple extortion: added pressure via press/regulators, and threats to customers/partners whose data was stolen | Threat/harassment of executives, employees, and Petro-Points/loyalty-style customer bases | DDoS as an added coercion layer | Auctioning/selling stolen files to highest bidder (RansomHub model) | Geopolitical/hacktivist extortion and 'name-and-shame' with no intent to decrypt (e.g., Handala targeting Gulf oil majors)"
"Energy and Utilities","hazard","OT vs IT Risk (Cyber-Physical)","The defining hazard of this sector: the interface between enterprise IT and operational technology (ICS/SCADA/DCS) controlling physical energy flows. IT-only ransomware routinely forces OT shutdowns, and OT-capable malware threatens physical damage.","Precautionary OT shutdown after an IT-only breach (Colonial Pipeline 6-day halt; Conpet isolated systems) | Flat/poorly-segmented IT-OT networks allowing lateral movement into control systems | SCADA / DCS / HMI / historian compromise and loss of view or loss of control | OT-specific/ICS-tailored malware (e.g., FrostyGoop manipulating Modbus TCP/502; EKANS/Snake targeting ICS processes) | Legacy/unpatchable OT assets and long OT maintenance windows | Safety-instrumented-system (SIS) risk and potential for physical damage to turbines, pipelines, transformers | Dragos: 25% of observed OT ransomware cases involved full OT-site shutdown, 75% caused some operational disruption"
"Energy and Utilities","hazard","Third-Party & Supply-Chain Risk","Energy relies on dense webs of vendors, EPC contractors, oilfield-service firms, software providers, and interconnected operators, so one compromise cascades across the value chain.","Oilfield-services and drilling contractors as chokepoints (Halliburton disruption rippled to E&P customers) | ICS/automation vendors and remote-maintenance access (e.g., Schneider Electric compromise affecting industrial customers) | Managed service providers and shared IT platforms across utility groups | Software/firmware supply-chain and update-mechanism abuse | Fuel-retail and payment/POS processors (Suncor/Petro-Canada payment outage at 1,500+ stations) | Interconnected grid/pipeline operators and shared SCADA telemetry | Metering, AMI, and smart-grid device supply chain"
"Energy and Utilities","hazard","Insider & Human-Factor Risk","Privileged operators, field technicians, and contractors expand exposure; personal-device and credential hygiene gaps are recurrent root causes.","Privileged IT/OT administrator credential theft (Conpet root cause) | Use of personal/unmanaged devices for work access | Contractor and seasonal/field-workforce access sprawl | Weak MFA coverage on remote-access and OT jump hosts | Malicious or negligent insiders with SCADA access"
"Energy and Utilities","hazard","Regulatory, Legal & Reputational Exposure","Energy is heavily regulated as critical infrastructure; incidents trigger mandatory reporting, sanctions-screening on ransom payment, and public/political scrutiny.","NERC CIP (bulk power) and TSA pipeline security-directive obligations | CISA/CIRCIA and national-CERT incident-reporting mandates; SEC 8-K materiality disclosure (Halliburton) | OFAC sanctions exposure when paying ransom to sanctioned/Russian-linked groups | Data-protection/privacy penalties (GDPR in EU; customer PII breaches) | State/national-security scrutiny and geopolitical targeting of energy assets | Litigation and shareholder/stock impact from disclosed material incidents"
"Energy and Utilities","exposure","Operational Technology & Control Systems","The physical-process control estate unique to energy/utilities — the crown-jewel exposure whose compromise or precautionary shutdown halts energy delivery.","SCADA systems and RTUs/PLCs at pipelines, substations, wells, pump/compressor stations | Distributed control systems (DCS) at power plants and refineries | Human-machine interfaces (HMIs), engineering workstations, and OT historians | Safety-instrumented systems (SIS) and protective relays | Modbus/DNP3/IEC-61850 industrial protocol networks | Grid/AMI smart-meter and distribution-automation infrastructure"
"Energy and Utilities","exposure","Enterprise IT & Business-Critical Applications","Corporate systems that, when encrypted, stop planning, dispatch, trading, and revenue — the layer most ransomware actually hits.","Production-planning and shipment/logistics-tracking systems (Halliburton) | ERP, SCM, and asset-management platforms | Energy-trading, scheduling, and settlement systems | Billing, metering-to-cash, and customer-information systems (CIS) | Email, identity/Active Directory, and VPN/remote-access infrastructure | Backup and disaster-recovery systems (targeted to force payment)"
"Energy and Utilities","exposure","Customer-Facing & Retail Systems","Public-facing and downstream retail exposure, particularly acute for utilities and fuel-retail operators.","Fuel-retail POS and electronic-payment systems (Suncor/Petro-Canada: 1,500+ stations to cash-only) | Customer web portals and mobile apps (Creos/Enovos portals knocked offline) | Loyalty/rewards platforms and member databases (Petro-Points) | Outage-reporting and customer-service systems | Prepay/smart-meter customer accounts"
"Energy and Utilities","exposure","Sensitive Data Assets","Data types whose theft drives extortion, regulatory penalties, and national-security concern.","Customer PII and payment/loyalty data | Employee PII, HR records, passport/ID scans (Conpet, Creos) | Confidential contracts, agreements, invoices, financial records | Engineering diagrams, pipeline/grid schematics, and control-system documentation (national-security sensitive) | Geophysical/seismic, reserves, and exploration IP (oil & gas trade secrets) | Plaintext credentials and access secrets found in exfiltrated document troves (2,270+ credential-bearing files at Creos)"
"Energy and Utilities","exposure","Third Parties & Interconnections","External entities and links whose compromise transmits risk into or out of the operator.","Oilfield-service, drilling, and EPC contractors | ICS/automation vendors and remote-maintenance channels | Fuel/payment processors and retail franchisees | Interconnected pipeline/grid operators and shared telemetry | MSPs, IT outsourcers, and shared group-IT platforms | Software/firmware/update supply chain (WSUS abuse, vendor patches)"
"Finance and Insurance","hazard","Initial Access Vectors","How ransomware actors most commonly gain their initial foothold into financial and insurance institutions and their third-party ecosystems.","Exploitation of internet-facing remote-access appliances (e.g., Citrix NetScaler CVE-2023-4966/4967 in the ICBC incident) | Phishing and malicious links leading to credential/endpoint compromise (e.g., Evolve Bank & Trust employee click) | Stolen/leaked credentials sourced from infostealer logs (54% of ransomware victims per 2025 Verizon DBIR had prior credential exposure) | Compromise via a shared/downstream vendor rather than the institution's own perimeter (Frost/Citizens shared vendor; Deutsche Bank marketing-platform vendor) | Exploitation of unpatched known CVEs in edge/VPN infrastructure | Business email compromise as a precursor to ransomware deployment"
"Finance and Insurance","hazard","Extortion Tactics","The specific pressure mechanisms ransomware groups apply against financial and insurance victims, who are unusually sensitive to both downtime and disclosure.","Encryption of core systems to force operational downtime (classic single extortion) | Data exfiltration and double extortion (threat of publishing stolen customer/financial records - dominant pattern in nearly all example incidents above) | Leak-site countdown deadlines to pressure fast payment (e.g., Everest's 6-day deadline on Frost/Citizens) | Harassment of executives, customers, or regulators directly (naming institutions publicly, contacting affected customers) | Reputational/'shaming' posts calling out incident-response vendors or refusal to negotiate (ALPHV's public post against FNF) | Threats of onward sale of data to third parties rather than public leak, as a middle-ground pressure tactic (MAPFRE/Lapsus$)"
"Finance and Insurance","hazard","Systemic and Market-Contagion Risk","A hazard category distinct to this industry: ransomware against a single financial institution or vendor can cascade into broader market or payment-system disruption well beyond the immediate victim.","Disruption to trade clearing/settlement causing failed deliveries at a market level (ICBC: $62B+ in failed Treasury settlements in a single day) | Derivatives/clearing platform outages forcing manual processing across many institutions simultaneously (ION Group affecting 42+ clients) | Central bank/national payment infrastructure targeting with potential monetary-policy or public-confidence implications (Central Bank of Libya) | Contagion through banking-as-a-service and fintech partner networks, where one bank's compromise exposes many unaffiliated fintech brands' customers (Evolve Bank & Trust)"
"Finance and Insurance","hazard","Third-Party and Supply-Chain Risk","Given heavy outsourcing of processing, document fulfillment, and technology in this sector, a large share of recent notable incidents originate outside the named institution's own network.","Concentrated vendor risk - a single vendor compromise affecting multiple unrelated financial institutions (Frost Bank + Citizens Bank via shared print/fulfillment vendor) | Core processor/payments vendor compromise (Fiserv, TSYS-type entities appearing as ransomware group targets) | Fintech/BaaS partner-network exposure cascading to end consumers who never had a direct relationship with the breached entity | Marketing/loyalty platform vendors handling employee or partner data on the institution's behalf | Weak contractual/audit visibility into subcontractors' security posture (a recurring theme in post-incident litigation, e.g., GLBA vendor-accountability suits against Citizens/Frost)"
"Finance and Insurance","hazard","Regulatory and Legal Exposure","Ransomware incidents in finance and insurance trigger a dense, sector-specific web of regulatory obligations that amplify cost and compress response timelines relative to other industries.","Breach notification regimes with short/compressed timelines (contributing to elevated 'detection & escalation' cost share per IBM 2025 - ~34% in financial services vs ~29% global) | Sector-specific regulatory regimes (GLBA in the U.S., DORA in the EU, functional-regulator rules for banks/insurers) | SEC disclosure obligations for material cybersecurity incidents (as invoked in the FNF SEC filing) | State/national data-protection authority investigations (e.g., Spanish AEPD scrutiny in MAPFRE's 2021 incident) | Follow-on class-action litigation from affected customers, increasingly targeting both the breached entity and its vendors | AML/KYC and financial-stability regulator engagement when core systems or national payment infrastructure are affected"
"Finance and Insurance","hazard","Operational/Business-Continuity Risk","How ransomware-driven downtime specifically manifests in financial and insurance operations, which are unusually time-sensitive and trust-dependent.","Loss of access to trading/settlement systems forcing manual, error-prone workarounds | Branch, call-center, and digital-channel outages affecting customer-facing service availability | Delayed real estate closings/title transactions when escrow/title systems are down (FNF) | Claims-processing and underwriting delays in insurance operations | Reputational and customer-trust damage disproportionate to direct financial loss, given the sector's dependence on public confidence"
"Finance and Insurance","hazard","Insider and Human-Factor Risk","Human-driven vulnerabilities that ransomware actors exploit or that compound institutional exposure.","Single-employee phishing susceptibility as a root cause (Evolve Bank & Trust) | Inadequate or inconsistent security controls across a large branch/subsidiary/M&A footprint | Insider threats (raised as a growing concern in Coveware's late-2025 reporting alongside falling payment rates) | Vendor-employee access management gaps at outsourced processors"
"Finance and Insurance","exposure","Core Banking and Payment Systems","The transactional backbone of financial institutions - direct targets or collateral damage in ransomware incidents that can halt money movement itself.","Core banking platforms (deposit/loan servicing, account management) | Payment rails and settlement systems (ACH, wire, SWIFT interfaces, card networks) | Trading, clearing, and derivatives-processing platforms (e.g., ION-style trade/clearing software) | ATM and branch network infrastructure | Treasury and repo/settlement operations systems"
"Finance and Insurance","exposure","Customer and Counterparty Data (PII/PFI)","The high-value, highly regulated personal and financial data that makes this sector an attractive double-extortion target.","Personally identifiable information (SSNs/national IDs, addresses, DOB) | Account numbers, card PANs, IBANs, routing/wire details | Credit, income, and investment/portfolio data | KYC/AML documentation and identity-verification records | Insurance policy, claims, and underwriting data (medical, property, liability details) | Employee data and internal credentials/password hashes"
"Finance and Insurance","exposure","Third-Party, Vendor, and Fintech-Partner Ecosystem","Financial institutions increasingly outsource operational functions and partner with fintechs, creating shared/concentrated exposure where a single vendor breach cascades across multiple unrelated institutions and their end customers.","Banking-as-a-service (BaaS) infrastructure providers and their downstream fintech clients (e.g., Evolve Bank & Trust exposing Affirm, Wise, Mercury customers) | Statement printing, mailing, and document-fulfillment vendors (e.g., Frost/Citizens shared vendor) | Marketing, loyalty, and incentive-platform vendors serving bank sales partners (e.g., Deutsche Bank third-party marketing platform) | Core-processing and payments technology vendors (e.g., Fiserv, TSYS-type processors) | Title, escrow, and closing-services platforms tied to real estate transactions (e.g., FNF) | Credit bureaus, KYC/identity-verification, and data-aggregation partners | Managed IT/security service providers and outsourced call centers"
"Finance and Insurance","exposure","Market Infrastructure and Institutional Systems","Systems whose disruption has effects beyond the victim institution, spilling into broader market functioning - a distinguishing feature of ransomware exposure in this sector versus most others.","Derivatives and securities clearing/settlement pipelines | Central bank and national payment-system infrastructure | Correspondent banking and interbank messaging systems | Credit union and community bank shared-service platforms | Regulatory reporting and financial-market-utility interfaces"
"Finance and Insurance","exposure","Digital and Remote-Access Channels","Customer- and employee-facing digital surfaces that both enable ransomware entry and represent business-continuity exposure if taken offline.","Online and mobile banking/insurance portals | Remote-access and VPN/Citrix infrastructure (a documented entry point, e.g., ICBC/CVE-2023-4966-4967) | Email and collaboration systems | Call center and customer service platforms | Employee remote-work endpoints and credentials"
"Finance and Insurance","exposure","Corporate, Legal, and Governance Records","Non-customer data whose exposure drives regulatory, legal, and reputational consequences distinct from direct financial fraud.","Board/executive communications and M&A-sensitive information | Internal audit, compliance, and regulatory-exam records | Litigation and legal-hold materials | Vendor contracts and risk-assessment documentation | Employee HR and payroll records"
"Healthcare and Social Assistance","hazard","Initial Access Vectors","How ransomware operators first gain a foothold in healthcare and social-assistance environments, which tend to run large numbers of internet-facing legacy systems, remote-access tools for clinicians/vendors, and understaffed security teams.","Exploitation of unpatched, internet-facing VPN/remote-access appliances and edge devices (a leading Verizon DBIR-cited vector for healthcare breaches, up sharply year over year) | Compromised or purchased VPN/RDP/Citrix credentials, including credentials harvested by infostealer malware from employee or third-party devices (ransomware.live 'infostealer' telemetry shows large stealer-log exposure tied to healthcare victims, e.g. Medibank) | Phishing and business-email-compromise targeting clinical, billing, and admin staff | Compromise of managed service providers (MSPs), IT vendors, and EHR/practice-management software resellers who hold privileged access across many small provider networks | Exploitation of vulnerabilities in widely-deployed healthcare-adjacent software (file-transfer tools, VoIP/telehealth platforms, backup software) as mass 'one-to-many' entry points | Insider-enabled access or credential sale by disgruntled or compromised employees/contractors"
"Healthcare and Social Assistance","hazard","Extortion Tactics","The specific pressure mechanisms ransomware groups use against healthcare targets, which are unusually effective against this sector because of patient-safety stakes and the sensitivity of medical data.","Encryption of clinical, administrative, and financial systems (EHR, PACS, pharmacy, lab, scheduling) forcing 'downtime procedures' and patient diversion | Data exfiltration and double/triple extortion — publishing or threatening to publish stolen PHI on leak sites (roughly three-quarters of recent healthcare cases reportedly involve exfiltration, per Coveware) | Targeted harassment of especially vulnerable patients using stolen sensitive records (e.g., ALPHV/BlackCat's publication of nude cancer-patient treatment photos at Lehigh Valley Health Network; Medibank attackers publishing abortion and addiction-treatment records) to increase payment pressure | Direct extortion emails/calls to patients or plan members threatening individual data release unless the organization (or the individual) pays | DDoS attacks layered on top of encryption/exfiltration to pressure incident-response teams | 'Re-victimization' — re-posting or re-selling the same stolen healthcare dataset by multiple groups or brokers after an initial attack (dispossessor/second-hand leak listings observed in the dataset)"
"Healthcare and Social Assistance","hazard","Third-Party / Supply-Chain Risk","Healthcare is unusually dependent on a small number of concentrated technology and services intermediaries (claims clearinghouses, pathology/lab partners, billing processors, EHR vendors), making single points of failure catastrophic and systemic.","Claims clearinghouse / revenue-cycle processor compromise (Change Healthcare/Optum — processes ~15 billion transactions/year, roughly a third of US patient records, per reporting) causing nationwide billing and pharmacy disruption far beyond the direct victim | Pathology, lab, and diagnostic-services partner compromise (Synnovis attack on NHS London trusts) halting blood testing and surgeries at hospitals that never touched the attacker directly | EHR, practice-management, and medical-billing software vendor compromise cascading to hundreds of downstream clinics/practices | Managed IT/security services provider compromise granting simultaneous access to many hospital or clinic networks | Business-associate and vendor risk under HIPAA — breach liability extending to the covered entity even when the incident originates at a subcontractor | Group-purchasing, supply, and medical-device-maintenance vendors as pivot points into hospital networks"
"Healthcare and Social Assistance","hazard","OT / Medical-Device and Clinical-Operations Risk","Unlike most sectors, ransomware in healthcare directly threatens physical patient safety through disruption of connected medical equipment and clinical workflows, not just IT/data confidentiality.","Forced downtime/diversion of ambulances and emergency departments during EHR outages (documented at UHS 2020 and other hospital-system attacks) | Disruption of networked medical devices, infusion pumps, imaging/PACS systems, and lab analyzers that depend on now-encrypted or isolated networks | Delayed or cancelled surgeries, chemotherapy, dialysis, and elective procedures during recovery windows | Documented contribution to patient harm/death from care delays (UK Coroner findings tied delayed blood-test results after the Synnovis attack to a patient death) | Reversion to paper-based/manual clinical documentation for weeks, increasing medication and diagnostic error risk | OT/IT convergence risk in hospital facilities systems (HVAC, building access, refrigeration for pharmaceuticals/blood products)"
"Healthcare and Social Assistance","hazard","Regulatory and Legal Exposure","Healthcare carries some of the heaviest breach-notification, privacy, and liability regimes of any industry, amplifying the downstream cost of a ransomware event well beyond technical remediation.","HIPAA/HHS OCR breach notification, investigation, and potential civil monetary penalties (US) | State attorney-general actions and multistate settlements | Mass tort / class-action litigation from affected patients (e.g., $65M Lehigh Valley Health Network settlement; CommonSpirit and HCA class actions) | GDPR and equivalent international health-data protection regimes for multinational providers and insurers | Government/parliamentary inquiries and mandatory incident reporting for public health systems (Ireland's HSE, UK NHS) | Loss of accreditation, payer contract, or Medicare/Medicaid compliance risk tied to prolonged system unavailability | Cyber-insurance coverage disputes and sub-limits given the scale of potential claims in this sector"
"Healthcare and Social Assistance","hazard","Insider and Workforce Risk","The sector's large, high-turnover clinical and administrative workforce, broad system-access footprint, and understaffed security teams create distinct human-layer exposure.","Widespread, broad EHR access privileges among clinical staff increasing blast radius of a single compromised account | Credential reuse and shadow-IT tools (e.g., unsanctioned messaging/file-sharing apps used by clinicians) bypassing security controls | Chronic cybersecurity staffing/budget shortfalls relative to IT complexity, especially at rural hospitals, nursing homes, and behavioral-health/social-assistance providers | Third-party staffing and locum/travel clinician access management gaps | Social engineering of help-desk/password-reset workflows (a rising vector per 2025-2026 reporting, including at Change Healthcare-adjacent and other large-health-system incidents)"
"Healthcare and Social Assistance","exposure","Electronic Health Record (EHR) and Clinical Documentation Systems","Core systems storing and managing patient charts, orders, and treatment history; encryption or unavailability directly halts clinical operations.","Hospital/health-system EHR platforms (Epic, Oracle Health/Cerner, MEDITECH, etc.) | Ambulatory/practice-management systems for clinics and physician groups | Behavioral health and long-term-care/nursing-home record systems | Clinical order-entry and e-prescribing systems"
"Healthcare and Social Assistance","exposure","Medical Imaging, Lab, and Diagnostic Systems","Specialized clinical systems and connected devices whose disruption halts diagnosis and treatment pathways.","PACS (Picture Archiving and Communication Systems) and radiology imaging archives | Laboratory Information Systems (LIS) and pathology/blood-testing platforms (e.g., Synnovis) | Connected medical IoT devices (infusion pumps, monitors, ventilators, imaging modalities) | Genomic/molecular diagnostics data"
"Healthcare and Social Assistance","exposure","Claims, Billing, and Revenue-Cycle Infrastructure","Financial and administrative processing systems, often centralized in a small number of national clearinghouses, that create systemic single points of failure.","Claims clearinghouses and eligibility-verification platforms (e.g., Change Healthcare/Optum) | Medical billing and coding service providers | Prior-authorization and utilization-management systems | Pharmacy benefit and prescription-processing networks | Payment/reimbursement processing tied to Medicare/Medicaid and commercial payers"
"Healthcare and Social Assistance","exposure","Telehealth and Remote-Care Platforms","Patient-facing digital care delivery channels that expand the network's external attack surface.","Telehealth/video-visit platforms | Remote patient monitoring and wearable-device data feeds | Patient portals and appointment-scheduling systems"
"Healthcare and Social Assistance","exposure","Protected Health Information (PHI) and Personal Data","The core data asset that makes healthcare an attractive double-extortion target, spanning highly sensitive clinical and identity data.","Patient demographic and insurance/Medicare-Medicaid identifiers | Clinical/treatment records including mental health, substance-abuse, and reproductive-health data | Sensitive images (e.g., oncology treatment photos leaked at Lehigh Valley Health Network) | Genetic and biometric data | Social Security numbers, financial and payment-card data collected for billing"
"Healthcare and Social Assistance","exposure","Third-Party and Vendor Ecosystem","The dense web of business associates and downstream partners that extend a healthcare organization's effective risk surface far beyond its own network.","EHR, practice-management, and health IT software vendors | Managed service providers (MSPs) and IT outsourcers serving multiple clinics/hospitals | Medical billing/collections and revenue-cycle-management firms | Lab, imaging, and pathology outsourcing partners | Staffing agencies and home-health/senior-care service providers | Health insurers and third-party administrators handling member PHI"
"Healthcare and Social Assistance","exposure","Physical/Operational Continuity Systems","Facility and logistics systems whose disruption has direct patient-safety consequences distinct from pure data risk.","Ambulance/EMS dispatch and diversion coordination | Pharmacy and blood-bank inventory/cold-chain management systems | Hospital building management/access-control systems | Emergency department and OR scheduling systems"
"Information Technology","hazard","Initial Access Vectors","How ransomware operators break into IT-sector firms. The sector's large internet-facing attack surface (the very appliances and products it builds and operates) makes edge exploitation and credential abuse dominant.","Exploitation of internet-facing/VPN and edge appliances (e.g., Palo Alto GlobalProtect at Ingram Micro, Fortinet/Citrix, Microsoft Exchange as used against Acer) | Exploitation of managed file transfer / edge software (MOVEit, GoAnywhere, Accellion) for mass exfiltration | Leaked or purchased credentials and infostealer logs (initial-access-broker marketplaces) | Abuse of remote monitoring & management (RMM) and remote-access tooling | Phishing / social engineering of admins and developers | Exploitation of zero-day/n-day vulnerabilities in the vendor's own shipped products, turning the product into an attack vector against customers"
"Information Technology","hazard","Extortion Tactics","IT firms face the full multi-extortion playbook; data-theft and source-code/IP leak threats are especially potent because reputation and confidentiality are core to the business.","Encryption of production, build/CI-CD and virtualization (VMware ESXi) systems | Data exfiltration and public leak-site publication (double extortion) | Triple/quadruple extortion: DDoS and direct harassment of the victim's downstream customers, partners and employees | Threatened disclosure of source code, product blueprints and signing keys/certificates | Ransom escalation and event-timed pressure (e.g., REvil publicizing Quanta/Apple leak during Apple's launch event)"
"Information Technology","hazard","Supply-Chain and Downstream Cascade Risk","The signature hazard of the IT industry: because these firms are technology suppliers, a single compromise propagates to their entire customer base, creating catastrophic aggregation/accumulation risk for insurers.","MSP/RMM platform compromise cascading to managed clients (Kaseya VSA -> up to ~1,500 downstream businesses) | SaaS/hosted-platform outage cascading to customer operations (CDK Global -> ~15,000 dealerships) | Distribution/reseller channel disruption halting downstream commerce (Ingram Micro order processing) | Software-supply-chain / trojanized-update or embedded-product-vulnerability propagation (MOVEit -> 2,700+ organizations) | Cloud/subprocessor concentration and single-points-of-failure shared across many tenants"
"Information Technology","hazard","Intellectual Property and Source Code Theft","IT firms hold uniquely high-value technical IP whose theft is itself the extortion leverage, independent of encryption.","Product designs and hardware blueprints (Quanta/Apple device schematics) | Semiconductor / chip design and EDA data (ARM, Synopsys as recent leak-site claims) | Proprietary source code and algorithms | Code-signing keys, certificates and secrets enabling further supply-chain abuse | Trade secrets, roadmaps and confidential customer contracts"
"Information Technology","hazard","Third-Party, Vendor and Concentration Risk","Dependence on shared infrastructure and a dense web of subprocessors amplifies both the likelihood and blast radius of incidents.","Shared cloud/hosting infrastructure and multi-tenant architecture | Subprocessor and nested-vendor dependency chains | Data-processor liability for downstream clients' data held on behalf of customers | Concentration of many customers on one platform (systemic insurer accumulation risk)"
"Information Technology","hazard","Regulatory, Legal and Contractual Exposure","IT breaches trigger outsized legal and disclosure consequences given the volume of third-party data and public-company status of many victims.","SEC cyber-incident disclosure obligations and investigations (SEC probe of Progress Software/MOVEit) | GDPR and global breach-notification statutes across many jurisdictions | Mass class-action litigation (MOVEit spawned dozens of suits, 40M+ claimants) | Contractual SLA penalties, indemnities and customer breach-of-contract claims | Cross-border data-transfer and sovereignty complications"
"Information Technology","hazard","Insider, Identity and Privileged-Access Risk","IT staff hold the keys to both their own and customers' environments, making identity compromise and privileged-access abuse especially damaging.","Compromise of privileged admin / domain-admin and cloud root credentials | Developer credential and secrets theft (repo tokens, API keys) | Initial-access-broker recruitment and insider collusion | Weak MFA / SSO federation abuse across tenants"
"Information Technology","hazard","Infrastructure and Availability Risk (IT/Data-Center)","For the IT sector the critical 'operational technology' is the data center, network and cloud fabric; loss of availability is the primary business-interruption driver rather than physical production lines.","Data-center / colocation and network-operations disruption | Backup and disaster-recovery system targeting (attackers delete/encrypt backups first) | Virtualization and hypervisor mass-encryption (ESXi) | Prolonged availability loss and business-interruption for both victim and downstream customers"
"Information Technology","exposure","Software Development and Source-Code Assets","The crown-jewel assets unique to technology firms; their exposure enables both direct IP loss and downstream supply-chain compromise.","Source-code repositories (Git/GitHub/GitLab/Bitbucket) | CI/CD build and release pipelines | Code-signing keys and certificates | Container registries and artifact stores | Product designs, hardware blueprints and chip/EDA design data"
"Information Technology","exposure","Customer-Facing SaaS / Cloud Platforms","The revenue-generating production systems whose downtime directly halts thousands of customers.","Production application and hosting environments | Multi-tenant customer databases and data lakes | Customer portals, dashboards and public APIs | Licensing, provisioning and entitlement systems"
"Information Technology","exposure","Managed-Services and Remote-Management Infrastructure","Tooling that grants privileged reach into customer estates, making it a high-value pivot for cascade attacks.","RMM platforms (e.g., Kaseya VSA) | MSP management consoles and multi-tenant admin planes | Remote-access/jump hosts and privileged-access management | Monitoring, patching and orchestration tooling"
